iter	Passed	Remaining
0	0	83
1	1	77
2	2	74
3	3	76
4	4	78
5	5	79
6	5	77
7	6	76
8	7	75
9	8	73
10	8	71
11	9	69
12	10	68
13	10	67
14	11	66
15	12	65
16	13	64
17	13	62
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	58
24	19	57
25	19	56
26	20	55
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	25	50
33	25	49
34	26	49
35	27	48
36	28	47
37	28	46
38	29	46
39	30	45
40	30	44
41	30	42
42	31	41
43	32	41
44	32	40
45	33	39
46	34	38
47	34	37
48	35	37
49	36	36
50	36	35
51	37	34
52	38	33
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
